key,binning,insp_bin,exp_bin,gas_snr_insp,gas_snr_exp,dp_snr_insp,dp_snr_exp,gas_snr_max,gas_max_bin,gas_snr_min,gas_min_bin,dp_snr_max,dp_max_bin,dp_snr_min,dp_min_bin,dp_method,rbc_snr_max,rbc_max_bin,rbc_snr_min,rbc_min_bin,rbc_snr_ei,tp_snr_max,tp_max_bin,tp_snr_min,tp_min_bin,tp_snr_ei,rbc_snr_per_bin,tp_snr_per_bin,lung_vox_insp,lung_vox_exp,gas_sigma_insp,gas_sigma_exp,bg_voxels,bins,gas_snr_per_bin,dp_snr_per_bin,lung_vox_per_bin,error
2023-01-31_000LL,d,7,15,29.73,11.09,21.12,8.67,32.28,6,11.09,15,24.29,6,8.67,15,"split: whitened |z|, Rician-corrected (untagged, pre-40d23a4)",18.57,6,5.32,0,14.71,-0.34,0,-1.22,5,-0.87,5.3 6.1 8.3 11.7 15.7 18.1 18.6 14.7 13.4 11.3 9.6 8.7 7.7 6.6 5.7 5.6,-0.3 -0.5 -0.7 -1.0 -1.1 -1.2 -1.2 -0.9 -0.7 -0.7 -0.6 -0.6 -0.7 -0.7 -0.6 -0.4,94153,54333,320.44,283.05,8000,16,12.0 14.2 17.1 21.4 25.2 28.5 32.3 29.7 28.4 24.6 21.2 17.8 15.0 13.5 11.9 11.1,9.1 9.5 10.9 15.8 22.4 24.0 24.3 21.1 20.4 17.3 14.4 12.6 10.7 9.8 9.2 8.7,56927 64290 73170 80597 84840 89116 93896 94153 93545 89405 84321 77690 70590 64903 59138 54333,
2023-03-08_017AK,d,8,0,37.47,19.83,17.17,11.69,37.47,8,18.80,1,17.17,8,10.74,2,"unsplit: whitened |z|, Rician-corrected",,,,,,,,,,,,,105671,62398,1022.31,835.18,8000,16,19.8 18.8 19.3 21.5 25.3 30.4 34.7 37.0 37.5 36.1 33.2 29.4 26.5 24.3 22.8 21.4,11.7 11.4 10.7 11.2 12.5 14.1 15.0 15.9 17.2 16.9 16.4 15.7 14.9 13.8 11.7 11.4,62398 63290 68138 74835 83365 91983 99393 103739 105671 103099 97149 88599 81251 75100 69999 65344,
2023-03-09_023DB,d,8,0,40.25,22.38,22.16,10.45,40.25,8,22.38,0,22.16,8,10.45,0,"unsplit: whitened |z|, Rician-corrected",,,,,,,,,,,,,113793,72641,1074.79,875.61,8000,16,22.4 22.8 25.0 27.8 30.3 34.1 36.5 39.7 40.3 37.3 34.2 32.6 30.5 28.9 27.0 24.0,10.4 11.0 12.9 14.4 14.2 14.2 15.5 18.9 22.2 21.1 19.8 17.0 16.3 15.1 14.0 12.3,72641 75455 81506 85609 89096 96394 102879 111028 113793 106583 98677 92937 87084 83236 80779 76260,
2023-03-10_004LR,d,6,15,46.71,17.14,20.94,9.48,46.71,6,17.14,15,20.94,6,9.48,15,"unsplit: whitened |z|, Rician-corrected",,,,,,,,,,,,,120588,64281,1011.97,831.54,8000,16,17.3 19.7 26.0 34.1 41.9 46.1 46.7 44.1 38.0 34.4 30.5 26.3 23.2 20.3 18.1 17.1,10.0 11.3 14.0 17.7 19.0 20.7 20.9 18.2 15.3 13.9 14.1 13.5 12.7 12.1 10.7 9.5,65514 72808 88814 109287 118469 119637 120588 119102 113979 108034 99190 89325 79638 71796 66295 64281,
2023-03-24_029CK,d,7,0,38.35,13.83,18.08,10.23,38.35,7,13.83,0,18.08,7,9.98,1,"unsplit: whitened |z|, Rician-corrected",,,,,,,,,,,,,93751,45056,825.95,668.72,8000,16,13.8 14.6 17.9 24.7 31.9 35.7 37.7 38.4 36.3 31.3 26.2 22.7 20.0 17.8 16.3 14.8,10.2 10.0 10.9 13.8 14.3 16.0 17.9 18.1 15.3 13.8 13.4 13.6 13.0 12.0 11.6 11.0,45056 48481 56653 67499 76731 84320 90589 93751 93328 89073 82107 73547 64240 56040 49656 45741,
2023-03-27_02BB,d,8,0,17.21,10.98,4.13,3.14,17.21,8,10.94,15,4.13,8,2.81,3,"unsplit: whitened |z|, Rician-corrected",,,,,,,,,,,,,65619,39140,676.70,725.33,8000,16,11.0 11.1 11.5 12.1 13.2 14.5 15.6 16.9 17.2 15.5 14.4 13.5 12.8 12.0 11.3 10.9,3.1 3.2 2.9 2.8 2.9 3.4 3.8 4.0 4.1 4.1 3.7 3.7 3.4 3.5 3.6 3.2,39140 40489 44076 46489 51398 55451 58555 63722 65619 60781 55863 51535 48950 46276 43263 40407,
2023-03-31_032WS,d,7,1,17.46,8.62,6.16,4.82,17.49,6,8.62,1,6.97,5,4.27,0,"unsplit: whitened |z|, Rician-corrected",,,,,,,,,,,,,91335,33424,559.72,524.08,8000,16,8.8 8.6 9.0 10.7 14.2 16.7 17.5 17.5 16.8 15.0 13.3 12.2 11.4 10.6 9.8 9.2,4.3 4.8 4.8 4.8 5.9 7.0 6.8 6.2 6.3 5.9 5.2 5.2 5.2 5.3 5.2 4.6,34147 33424 42146 62201 78669 87102 90324 91335 90816 86428 80525 72894 62826 52510 43590 38206,
2023-04-07_030DN,d,7,0,32.80,15.37,10.97,9.79,34.65,6,15.37,0,15.08,4,8.41,1,"split: whitened |z|, Rician-corrected (untagged, pre-40d23a4)",3.57,4,2.22,2,3.39,12.84,4,7.47,1,10.27,3.0 2.3 2.2 2.8 3.6 3.6 3.5 3.4 2.9 2.7 2.6 2.6 2.9 3.0 2.9 3.1,8.8 7.5 8.6 10.7 12.8 12.6 11.0 10.3 9.7 8.5 9.0 9.9 10.2 9.6 9.8 9.8,127825,55628,412.51,325.88,8000,16,15.4 15.9 20.6 27.5 32.3 34.2 34.6 32.8 30.3 27.8 25.0 22.5 19.9 17.8 16.7 15.7,9.8 8.4 10.2 13.2 15.1 13.9 12.0 11.0 10.7 10.6 10.4 11.0 11.2 10.8 11.2 10.9,55628 62048 77081 95661 110716 118620 126105 127825 127065 123054 115996 106229 88936 72902 62122 57039,
2023-04-11_000KR,d,8,0,31.57,22.03,nan,nan,31.91,7,21.77,2,,,,,none (gas-only acquisition),,,,,,,,,,,,,133100,90004,320.68,232.54,8000,16,22.0 22.9 21.8 22.5 25.2 26.5 28.8 31.9 31.6 30.1 28.7 26.4 24.6 23.1 23.4 22.5,,90004 92164 93149 96624 104500 112572 121669 131330 133100 129832 124992 118370 111077 102826 98451 93024,
2023-04-14_000KR,d,8,0,31.58,20.05,nan,nan,31.58,8,19.75,15,,,,,none (gas-only acquisition),,,,,,,,,,,,,110311,73835,251.97,234.78,8000,16,20.0 20.7 21.3 20.2 23.0 25.8 28.4 30.8 31.6 30.6 28.3 25.6 23.9 21.1 19.9 19.8,,73835 75692 77640 77852 84218 93057 101286 107889 110311 107736 103205 98226 91279 83009 77237 74413,
